,precision,recall,f1-score,support
Mild,0.9583333333333334,0.9583333333333334,0.9583333333333334,48.0
Moderate,0.8958333333333334,0.9347826086956522,0.9148936170212766,46.0
Severe,0.75,0.5,0.6,6.0
accuracy,0.92,0.92,0.92,0.92
macro avg,0.8680555555555557,0.7977053140096618,0.8244089834515367,100.0
weighted avg,0.9170833333333335,0.92,0.9168510638297872,100.0
