train_size,train_score_mean,train_score_std,validation_score_mean,validation_score_std
53,0.9810567626432913,3.2183275015788817e-06,0.9262314931986063,0.020409734367207766
106,0.9905290954583309,1.9237905130818755e-05,0.9362301182226324,0.029842341289205515
159,0.9809422409158303,0.013835030486914649,0.9596700693654417,0.01896319724591385
212,0.9779539233786873,0.00588779343329074,0.9574969164192769,0.01544178934923896
266,0.9786570587122779,0.0035578996097032616,0.9601287094582904,0.01283377366016013
