iter	MultiClass
0	1.322925871
1	1.261855781
2	1.206604917
3	1.151434618
4	1.108313807
5	1.063569645
6	1.020308992
7	0.9874446543
8	0.955641158
9	0.9215604777
10	0.8876812624
11	0.8548548857
12	0.831001834
13	0.8036840434
14	0.7776488181
15	0.7545125369
16	0.7342927967
17	0.7130048321
18	0.6909996579
19	0.6722341325
20	0.6541248594
21	0.6388136462
22	0.6231782356
23	0.609433025
24	0.5925446037
25	0.5767713767
26	0.5630408145
27	0.5485375494
28	0.5340967899
29	0.5216105529
30	0.5093220016
31	0.4966115595
32	0.4853641568
33	0.4746194759
34	0.4646366002
35	0.4540918186
36	0.4434283656
37	0.4337361331
38	0.4234510601
39	0.4156029101
40	0.4079426421
41	0.3996392497
42	0.3922735826
43	0.3844408803
44	0.3770653346
45	0.3701186066
46	0.3627738593
47	0.3553169908
48	0.3500954788
49	0.3438749004
50	0.337090177
51	0.3313569647
52	0.3256031402
53	0.3197646953
54	0.3152427542
55	0.3095097503
56	0.3043108874
57	0.2994217809
58	0.2955722577
59	0.2918728744
60	0.2877926609
61	0.2833852441
62	0.2796259156
63	0.2746326061
64	0.2712862083
65	0.2673548391
66	0.2628776482
67	0.2591373478
68	0.2555414471
69	0.2523399283
70	0.2487902773
71	0.2448670066
72	0.2417887235
73	0.2392127239
74	0.2359037179
75	0.2331572068
76	0.2306322897
77	0.2272613717
78	0.2240041608
79	0.2212289452
80	0.2182953475
81	0.2161744831
82	0.21359103
83	0.2110125757
84	0.2082370295
85	0.2058547068
86	0.2039608469
87	0.2011612745
88	0.1985791015
89	0.1968398825
90	0.1945451431
91	0.1925615722
92	0.1904886868
93	0.1887610268
94	0.1867811341
95	0.1849173444
96	0.1829962129
97	0.1810428778
98	0.1787106318
99	0.1769776535
100	0.1750578895
101	0.1737329314
102	0.1718560436
103	0.1702775275
104	0.1684874824
105	0.1668689141
106	0.1652755794
107	0.1641815704
108	0.1627653636
109	0.1613078747
110	0.159944854
111	0.1583752692
112	0.1566380176
113	0.1549582738
114	0.1536972793
115	0.1522274333
116	0.150508633
117	0.1489884861
118	0.1476534936
119	0.1463781177
120	0.1450944934
121	0.1438708117
122	0.1425373722
123	0.1411069713
124	0.1396710263
125	0.1383696882
126	0.1371611119
127	0.1358126068
128	0.1346107642
129	0.1336230468
130	0.1325394302
131	0.1316485089
132	0.1305037411
133	0.1291226194
134	0.1284406501
135	0.1271475949
136	0.1262140524
137	0.1250874631
138	0.1239273735
139	0.1229583022
140	0.1220102381
141	0.1210446051
142	0.1201095059
143	0.1190720633
144	0.1180626047
145	0.1171223157
146	0.1162356222
147	0.1152972019
148	0.1144560695
149	0.1136613764
150	0.1126590531
151	0.1117656473
152	0.1108719809
153	0.1101792851
154	0.1093679109
155	0.1085462812
156	0.1078125511
157	0.1068193365
158	0.1061659018
159	0.1054658779
160	0.1047954349
161	0.104277693
162	0.103465984
163	0.1024949473
164	0.1016831669
165	0.1008913662
166	0.1002279366
167	0.09949406633
168	0.09867138355
169	0.09808613224
170	0.09716827908
171	0.09639789274
172	0.09579122141
173	0.09520501846
174	0.09453834033
175	0.09387137893
176	0.09332404155
177	0.09272010454
178	0.0922745362
179	0.09189878509
180	0.09138054673
181	0.09074297614
182	0.09031878687
183	0.08968915306
184	0.08928970951
185	0.08862117086
186	0.08829385003
187	0.08769887973
188	0.08703832953
189	0.08654638073
190	0.08610387274
191	0.08557470283
192	0.08500524281
193	0.08450959601
194	0.08391911332
195	0.08333592554
196	0.0827153391
197	0.08220161579
198	0.08171852158
199	0.08132233343
200	0.08084645532
201	0.08047520915
202	0.08004017539
203	0.07950349215
204	0.07897374512
205	0.07856891899
206	0.07824651862
207	0.07783291464
208	0.07742243502
209	0.07706591983
210	0.07661904164
211	0.07618113997
212	0.07574355382
213	0.07533304213
214	0.07479992044
215	0.07442525586
216	0.07390060226
217	0.07348010149
218	0.07309105805
219	0.07270467462
220	0.07230634716
221	0.07192350068
222	0.07149725559
223	0.07102732987
224	0.07070004626
225	0.07042152405
226	0.06989511798
227	0.06953412155
228	0.06899989728
229	0.06862262557
230	0.06830832525
231	0.0679084927
232	0.06761589506
233	0.06720818488
234	0.06682789549
235	0.06642787285
236	0.06610088565
237	0.06569065767
238	0.06533033291
239	0.06499833349
240	0.0645756666
241	0.06424193109
242	0.06405434627
243	0.06362221628
244	0.06326999174
245	0.0629296474
246	0.06260024065
247	0.06228661954
248	0.06199204956
249	0.06174174537
250	0.06138883582
251	0.06120586467
252	0.06099842069
253	0.06067699391
254	0.06033279858
255	0.06013211503
256	0.05979633991
257	0.05954501502
258	0.05934849135
259	0.05903962536
260	0.05878029634
261	0.05847864092
262	0.0581051363
263	0.05798708446
264	0.05776198515
265	0.05749980818
266	0.05718120471
267	0.05692287662
268	0.05665558432
269	0.05644676961
270	0.05618284615
271	0.05593553373
272	0.05570159981
273	0.0555219031
274	0.05522033718
275	0.05493114502
276	0.05473098148
277	0.05439648479
278	0.05420590887
279	0.05393304354
280	0.05367430574
281	0.05339412289
282	0.05316206935
283	0.05288891746
284	0.05271983505
285	0.05250096147
286	0.05223149035
287	0.05207515711
288	0.05185473895
289	0.05155664565
290	0.05139490064
291	0.05116365775
292	0.05096945182
293	0.05076544659
294	0.05061080885
295	0.05040275384
296	0.05014386193
297	0.04988548397
298	0.04968513872
299	0.04945457253
