feature,importance_mean,importance_std
sleep_hours,0.10191848972717307,0.02854057179634073
anxiety_score,0.062323377774710274,0.0194382461034786
academic_work_pressure,0.05402551270731839,0.023030650537203504
social_media_hours,0.05081858227924616,0.0273147380887819
depression_score,0.03586309004388112,0.011933422458926321
concentration_level,0.023407556365649552,0.01464282069493549
stress_level,0.021793618176227027,0.017479353517222778
mood_score,0.019797127169018148,0.014053156379298711
work_life_balance,0.018676046552077007,0.016730032137204
social_support,0.012801744497323441,0.009914002802887466
sleep_quality,0.007809739280327588,0.011558237345869346
occupation_Student,0.006862745098039269,0.004492721269564584
gender_Male,0.006862745098039269,0.004492721269564584
age,0.0031165965710347244,0.011990919775289864
gender_Female,0.0,0.0
occupation_Both (Part-time work + Study),0.0,0.0
gender_Non-binary,0.0,0.0
occupation_Working Professional,0.0,0.0
physical_activity_days,-0.00012048948752211298,0.010821538367587716
